Rank	Title	Status	Study Results	Conditions	Interventions	Locations	URL
93	Acute Lymphoblastic Leukemia Therapies Informed by Genomic Analyses	Recruiting	No Results Available	Leukemia, Acute Lymphoblastic	Other: Acute Lymphobastic Leukemia (ALL) Treatment Options	University of New Mexico Comprehensive Cancer Center, Albuquerque, New Mexico, United States	https://ClinicalTrials.gov/show/NCT02580981
94	Blinatumomab for MRD in Pre-B ALL Patients Following Stem Cell Transplant	Recruiting	No Results Available	B-cell Adult Acute Lymphoblastic Leukemia|Stem Cell Leukemia|Minimal Residual Disease	Biological: blinatumomab	Vancouver General Hospital - Leukemia/Bone Marrow Transplant Program, Vancouver, British Columbia, Canada|BC Children's Hospital, Vancouver, British Columbia, Canada|QEII - Health Sciences Centre, Halifax, Nova Scotia, Canada	https://ClinicalTrials.gov/show/NCT04044560
95	Clinical Study of SenL-T7 CAR T Cells in the Treatment of Relapsed and Refractory CD7+ Leukemia or T-cell Lymphoblastic Lymphoma	Recruiting	No Results Available	SenL-T7 CAR T Cells for CD7+ Leukemia or T-LBL	Biological: Senl-T7	Hebei yanda Ludaopei Hospital, Beijing, Hebei, China	https://ClinicalTrials.gov/show/NCT04916860
96	A Study of GC022F CAR-T Cell Immunotherapy for Relapsed or Refractory B- ALL	Recruiting	No Results Available	B-cell Acute Lymphoblastic Leukemia	Biological: GC022F	Hebei Yanda Ludaopei Hospital, Sanhe, Hebei, China	https://ClinicalTrials.gov/show/NCT04129099
97	Safety and Efficacy Study of CD22 CAR-T Cells for Relapsed or Refractory Acute Lymphoblastic Leukemia	Recruiting	No Results Available	B-ALL	Biological: CD22 CAR-T	Hebei yanda Ludaopei Hospital, Heibei, Sanhe, China|BeiJing Ludaopei Hospital, Beijing, Yizhuang, China	https://ClinicalTrials.gov/show/NCT04546906
98	Senl-h19 CAR-T Cell Injection in the Treatment of Patients With Relapsed or Refractory Acute Lymphoblastic Leukemia	Recruiting	No Results Available	B-ALL	Biological: Senl-h19 CAR-T	Hebei yanda Ludaopei Hospital, Yanda, Hebei, China	https://ClinicalTrials.gov/show/NCT04792593
99	Cell Therapy for CD7 Positive T-cell Acute Lymphoblastic Leukemia Using CD7-Specific CAR-T Cells	Recruiting	No Results Available	T-All	Biological: CD7 CAR-T	Hebei yanda Ludaopei Hospital, Yanda, Hebei, China	https://ClinicalTrials.gov/show/NCT04572308
100	Study of CD19 Specific Chimeric Antigen Receptor Positive T Cells (CAR-T) in ALL and NHL	Recruiting	No Results Available	Acute Lymphoblastic Leukemia|Non Hodgkin Lymphoma	Biological: Car-T Cell Therapy	Acıbadem Labcell Cellular Therapy Laboratories, Istanbul, Turkey	https://ClinicalTrials.gov/show/NCT04206943
101	Ponatinib in Adult Ph+ ALL Patients With MRD Positivity or Hematological Relapse	Not yet recruiting	No Results Available	Philadelphia-Positive ALL|Acute Lymphoblastic Leukemia, in Relapse	Drug: Ponatinib		https://ClinicalTrials.gov/show/NCT04475731
102	Blinatumomab Added to Prephase and Consolidation Therapy in Precursor B-acute Lymphoblastic Leukemia in Adults.	Recruiting	No Results Available	ALL, Adult	Drug: Blinatumomab	UZA, Antwerpen, Belgium|ZNA Stuivenberg, Antwerpen, Belgium|AZ st Jan, Brugge, Belgium|UZ Leuven, Leuven, Belgium|AZ Delta, Roeselare, Belgium|Meander MC, Amersfoort, Netherlands|Amsterdam Medical Centre (AMC), Amsterdam, Netherlands|VU medical Centre, Amsterdam, Netherlands|Hagaziekenhuis, locatie Leyweg, Den Haag, Netherlands|Medisch Spectrum Twente, Enschede, Netherlands|UMCG, Groningen, Netherlands|LUMC, Leiden, Netherlands|Antonius Ziekenhuis, Nieuwegein, Netherlands|Erasmus MC, Rotterdam, Netherlands|UMCU, Utrecht, Netherlands|Isala, Zwolle, Netherlands	https://ClinicalTrials.gov/show/NCT03541083
103	Calaspargase Pegol in Adults With ALL	Not yet recruiting	No Results Available	Acute Lymphoblastic Leukemia	Drug: Calaspargase pegol (S95015)	HonorHealth Cancer Transplant Institute, Scottsdale, Arizona, United States|City of Hope Comprehensive Cancer Center, Duarte, California, United States|UC San Diego Health Moores Cancer Center, La Jolla, California, United States|Yale University, New Haven, Connecticut, United States|Robert H Lurie Cancer Center, Chicago, Illinois, United States|University of Chicago Medicine, Chicago, Illinois, United States|University of Maryland Greenbaum Cancer Center, Baltimore, Maryland, United States|Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins, Baltimore, Maryland, United States|Dana Farber Cancer Institute, Weymouth, Massachusetts, United States|NYU Langone/Laura and Isaac Perlmutter Cancer Center, New York, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Duke University, Durham, North Carolina, United States|Cleveland Clinic, Cleveland, Ohio, United States|Penn State Cancer Institute, Hershey, Pennsylvania, United States|University of Washington/Seattle Cancer Care Alliance, Seattle, Washington, United States	https://ClinicalTrials.gov/show/NCT04817761
104	Multicenter Study of Risk-adapted Treatment for T-lineage ALL of Young Adults (18-59 Years Old)	Recruiting	No Results Available	T-cell Adult Acute Lymphoblastic Leukemia	Drug: nelarabine	Hematology, Paris, France	https://ClinicalTrials.gov/show/NCT02619630
105	A Treatment Study Protocol for Participants 1-45 Years With Acute Lymphoblastic Leukaemia	Recruiting	No Results Available	Leukemia, Acute Lymphoblastic	Drug: Omitted Doxorubicin|Drug: Omitted Vincristine+Dexamethasone pulses|Drug: Inotuzumab Ozogamicin+Standard Maintenance Therapy|Drug: Imatinib|Drug: 6-tioguanine+Standard Maintenance Therapy|Drug: Blinatumomab	L'hôpital Universitaire des enfants Reine Fabiola (Huderf), Brussels, Belgium|University Hospital Brussels, Brussels, Belgium|Cliniques Universitaires Saint-Luc (UCL), Brussels, Belgium|University Hospital Antwerp, Edegem, Belgium|University Hospital Ghent, Ghent, Belgium|University Hospital Leuven, Dept of Haematology, Leuven, Belgium|University Hospital Leuven, Dept of Paediatrics, Leuven, Belgium|CHC MontLégia, Boulevard Patience et Beaujonc 2, Liège, Belgium|CHR de la Citadelle, Liège, Belgium|Aalborg University Hospital, Dept of Paediatrics, Aalborg, Denmark|Aarhus University Hospital, Aarhus, Denmark|Aarhus University Hospital, Child and Adolescent Health, Aarhus, Denmark|Rigshospitalet, Dept of Haematology, Copenhagen, Denmark|Rigshospitalet, Dept of Paediatrics, Copenhagen, Denmark|Odense University Hospital, Dept of Paediatrics, Odense, Denmark|North Estonia Medical Centre, Dept of Haematology, Tallinn, Estonia|Tallinn Children´s Hospital, Dept of Paediatrics, Tallinn, Estonia|Tartu University Hospital, Dept of Paediatrics, Tartu, Estonia|Tartu University Hospital, Tartu, Estonia|Helsinki University Hospital, Dept of Haematology, Helsinki, Finland|Helsinki University Hospital, Dept of Paediatrics, Helsinki, Finland|Kuopio University Hospital, Dept of Haematology, Kuopio, Finland|Kuopio University Hospital, Dept of Paediatrics, Kuopio, Finland|Oulu University Hospital, Dept of Haematology, Dept of Medicine, Oulu, Finland|Oulu University Hospital, Dept of Paediatrics, Oulu, Finland|Tampere University Hospital, Dept of Haematology, Tampere, Finland|Tampere University Hospital, Dept of Paediatrics, Tampere, Finland|Turku University Hospital, Clinical Haematology and Stem Cell Transplantation Unit, Turku, Finland|Turku University Hospital, Dept of Paediatrics, Turku, Finland|Evangelisches Krankenhaus Bielefeld, Bielefeld, Germany|Universitätsklinikum Bonn, Bonn, Germany|Klinikum Bremen Mitte, Bremen, Germany|Universitätsklinikum Hamburg-Eppendorf, Hamburg, Germany|HELIOS Klinikum Krefeld, Krefeld, Germany|Universitätsmedizin Mainz, Mainz, Germany|Universitätsklinikum München, München, Germany|Landspitali University Hospital, Children's Hospital, Reykjavík, Iceland|Our Lady's Children's Hospital, Dublin, Ireland|Children's Hospital, Affiliate of Vilnius University Hospital Santaros Klinikos, Vilnius, Lithuania|Princess Máxima Center for Pediatric Oncology, Utrecht, Netherlands|Haukeland University Hospital, Dept of Haematology, Bergen, Norway|Haukeland University Hospital, Dept of Paediatrics, Bergen, Norway|Oslo University Hospital, Dept of Haematology, Oslo, Norway|Oslo University Hospital, Dept of paediatric haemato- and oncology, Oslo, Norway|Stavanger University Hospital, Dept of Haematology, Stavanger, Norway|University Hospital North Norway, Dept of Haematology, Tromsø, Norway|University Hospital of North Norway, Dept of Paediatrics, Tromsø, Norway|St. Olavs University Hospital, Dept of Paediatrics, Trondheim, Norway|St. Olavs University Hospital, Dept of Haematology, Trondheim, Norway|Centro Hospitalar e Universitário de Coimbra, EPE - Hospital Pediátrico de Coimbra, Coimbra, Portugal|Instituto Português de Oncologia de Lisboa Francisco Gentil, EPE, Lisboa, Portugal|Instituto Português de Oncologia do Porto Francisco Gentil, EPE, Porto, Portugal|Sahlgrenska University Hospital, Section for Haematology and coagulation, Gothenburg, Sweden|Sahlgrenska University Hospital, Dept of Paediatric Haematology and Oncology, Gothenburg, Sweden|Linköping University Hospital, Dept of Haematology, Linköping, Sweden|Linköping University Hospital, Dept of Paediatrics, Linköping, Sweden|Skåne University Hospital, Dept of Haematology, Lund, Sweden|Skåne University Hospital, Dept of Paediatrics, Lund, Sweden|Karolinska University Hospital, Dept of Paediatric Oncology and Haematology, Stockholm, Sweden|Karolinska University Hospital, Patient area Haematology, Stockholm, Sweden|Norrland University Hospital, Dept of Haematology, Umeå, Sweden|Norrland University Hospital, Dept of Paediatrics, Umeå, Sweden|Uppsala University Hospital, Dept of Haematology, Uppsala, Sweden|Uppsala University Hospital, Dept of Paediatric Haematology and Oncology, Uppsala, Sweden|Örebro University Hospital, Section for Haematology, Örebro, Sweden|Aberdeen Royal Infirmary, Aberdeen, Aberdeen, United Kingdom|Royal Aberdeen Children's Hospital, Aberdeen, Aberdeen, United Kingdom|Royal Belfast Hospital for Sick Children, Belfast, Belfast, United Kingdom|Belfast City Hospital, Belfast, Belfast, United Kingdom|The Queen Elizabeth Hospital, Birmingham, Birmingham, United Kingdom|Birmingham Children's Hospital, Birmingham, Birmingham, United Kingdom|Bristol Royal Hospital for Children / Bristol Haematology and Oncology Centre, Bristol, United Kingdom|Addenbrooke's Hospital, Cambridge, Cambridge, United Kingdom|Noah's Ark Children's Hospital for Wales, Cardiff, Cardiff, United Kingdom|University Hospital of Wales, Cardiff, Cardiff, United Kingdom|Ninewells Hospital, Dundee, Dundee, United Kingdom|Western General Hospital, Edinburgh, Edinburgh, United Kingdom|Royal Hospital for Sick Children, Edinburgh, Edinburgh, United Kingdom|Beatson West of Scotland Cancer Centre, Glasgow, Glasgow, United Kingdom|Royal Hospital for Children, Glasgow, Glasgow, United Kingdom|Leeds General Infirmary, Leeds, Leeds, United Kingdom|St. James's University Hospital, Leeds, Leeds, United Kingdom|Leicester Royal Infirmary, Leicester, Leicester, United Kingdom|Alder Hey Children's Hospital, Liverpool, Liverpool, United Kingdom|Royal Liverpool University Hospital, Liverpool, Liverpool, United Kingdom|University College London Hospital, London, London, United Kingdom|Great Ormond Street Hospital for Children, London, London, United Kingdom|Royal Manchester Children's Hospital, Manchester, Manchester, United Kingdom|Christie Hospital, Manchester, Manchester, United Kingdom|Royal Victoria Infirmary, Newcastle, Newcastle, United Kingdom|Freeman Hospital, Newcastle, Newcastle, United Kingdom|Nottingham City Hospital, Nottingham, Nottingham, United Kingdom|Queen's Medical Centre, Nottingham, Nottingham, United Kingdom|Churchill Hospital, Oxford, Oxford, United Kingdom|John Radcliffe Hospital, Oxford, Oxford, United Kingdom|Derriford Hospital, Plymouth, Plymouth, United Kingdom|Royal Hallamshire Hospital, Sheffield, Sheffield, United Kingdom|Sheffield Children's Hospital, Sheffield, Sheffield, United Kingdom|Southampton General Hospital, Southampton, Southampton, United Kingdom|Royal Stoke University Hospital, Stoke, Stoke, United Kingdom|Royal Marsden Hospital, Sutton, Sutton, United Kingdom	https://ClinicalTrials.gov/show/NCT04307576
106	Immunotherapy With CD19 CART-cells for B Cell Acute Lymphoblastic Leukemia	Not yet recruiting	No Results Available	Leukemia, B-Cell	Biological: CD19-targeted CART cells		https://ClinicalTrials.gov/show/NCT03599375
107	Blinatumomab, Methotrexate, Cytarabine, and Ponatinib in Treating Patients With Philadelphia Chromosome-Positive, or BCR-ABL Positive, or Relapsed/Refractory, Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Acute Lymphoblastic Leukemia|BCR-ABL1 Fusion Protein Expression|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Philadelphia Chromosome Positive|Recurrent Acute Lymphoblastic Leukemia|Refractory Acute Lymphoblastic Leukemia|t(9;22)	Biological: Blinatumomab|Drug: Cytarabine|Drug: Methotrexate|Drug: Ponatinib	M D Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT03263572
108	Low-Intensity Chemotherapy, Ponatinib and Blinatumomab in Treating Patients With Philadelphia Chromosome-Positive and/or BCR-ABL Positive Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Acute Lymphoblastic Leukemia|Acute Myeloid Leukemia With BCR-ABL1|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Philadelphia Chromosome Positive|Recurrent Acute Lymphoblastic Leukemia|Refractory Acute Lymphoblastic Leukemia	Biological: Blinatumomab|Drug: Cyclophosphamide|Drug: Cytarabine|Biological: Filgrastim|Drug: Methotrexate|Biological: Pegfilgrastim|Drug: Ponatinib|Biological: Rituximab|Drug: Vincristine	M D Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT03147612
109	Combination Chemotherapy and Ponatinib Hydrochloride in Treating Patients With Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Acute Lymphoblastic Leukemia|Adult Acute Lymphoblastic Leukemia in Complete Remission|B Acute Lymphoblastic Leukemia With t(9;22)(q34.1;q11.2); BCR-ABL1|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Philadelphia Chromosome Positive|Untreated Adult Acute Lymphoblastic Leukemia	Drug: Cyclophosphamide|Drug: Cytarabine|Drug: Dexamethasone|Drug: Doxorubicin|Drug: Doxorubicin Hydrochloride|Other: Laboratory Biomarker Analysis|Drug: Methotrexate|Drug: Ponatinib|Drug: Ponatinib Hydrochloride|Drug: Prednisone|Biological: Rituximab|Drug: Vincristine|Drug: Vincristine Sulfate	M D Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT01424982
110	Ruxolitinib and Chemotherapy in Adolescents and Young Adults With Ph-like Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Acute Lymphoblastic Leukemia|ALL, Childhood|ALL	Drug: Ruxolitinib|Drug: Cyclophosphamide|Drug: Cytarabine|Drug: Mercaptopurine|Drug: Vincristine|Drug: Pegaspargase|Drug: Rituximab|Drug: Methotrexate (Intrathecal Administration)|Drug: Methotrexate (Intravenous Administration)|Drug: Dexamethasone|Drug: Doxorubicin|Drug: Thioguanine|Drug: Methotrexate Oral Product	University of Chicago Medical Center, Chicago, Illinois, United States	https://ClinicalTrials.gov/show/NCT03571321
111	211^At-BC8-B10 Before Donor Stem Cell Transplant in Treating Patients With High-Risk Acute Myeloid Leukemia, Acute Lymphoblastic Leukemia, Myelodysplastic Syndrome, or Mixed-Phenotype Acute Leukemia	Recruiting	No Results Available	Acute Lymphoblastic Leukemia|Acute Myeloid Leukemia Arising From Previous Myelodysplastic Syndrome|Acute Myeloid Leukemia|Hematopoietic and Lymphoid Cell Neoplasm|Chronic Myelomonocytic Leukemia|Myelodysplastic Syndrome With Excess Blasts|Recurrent Acute Myeloid Leukemia|Refractory Acute Lymphoblastic Leukemia|Recurrent Acute Lymphoblastic Leukemia|Recurrent Mixed Phenotype Acute Leukemia|Refractory Acute Myeloid Leukemia|Refractory Mixed Phenotype Acute Leukemia|Mixed Phenotype Acute Leukemia	Drug: Cyclosporine|Drug: Fludarabine Phosphate|Other: Laboratory Biomarker Analysis|Drug: Mycophenolate Mofetil|Procedure: Peripheral Blood Stem Cell Transplantation|Other: Pharmacological Study|Radiation: Pretargeted Radioimmunotherapy|Drug: Sirolimus|Radiation: Total-Body Irradiation	Fred Hutch/University of Washington Cancer Consortium, Seattle, Washington, United States	https://ClinicalTrials.gov/show/NCT03128034
112	TC-110 T Cells in Adults With Relapsed or Refractory Non-Hodgkin Lymphoma or Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Non Hodgkin Lymphoma|Acute Lymphoblastic Leukemia|Diffuse Large B Cell Lymphoma|Primary Mediastinal Large B Cell Lymphoma|Mantle Cell Lymphoma|Follicular Lymphoma	Drug: TC-110 T Cells|Drug: Fludarabine|Drug: Cyclophosphamide	Colorado Blood Cancer Institute, Denver, Colorado, United States|Sarah Cannon Research Institute, Nashville, Tennessee, United States|University of Texas MD Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT04323657
113	huJCAR014 CAR-T Cells in Treating Adult Patients With Relapsed or Refractory B-Cell Non-Hodgkin Lymphoma or Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Recurrent Adult Acute Lymphoblastic Leukemia|Recurrent B-Cell Non-Hodgkin Lymphoma|Recurrent Diffuse Large B-Cell Lymphoma|Recurrent Primary Mediastinal (Thymic) Large B-Cell Lymphoma|Refractory Adult Acute Lymphoblastic Leukemia|Refractory B-Cell Non-Hodgkin Lymphoma|Refractory Diffuse Large B-Cell Lymphoma|Refractory Primary Mediastinal (Thymic) Large B-Cell Lymphoma|Recurrent Transformed Non-Hodgkin Lymphoma|Recurrent High Grade B-Cell Lymphoma With MYC, BCL2, and BCL6 Rearrangements|Refractory High Grade B-Cell Lymphoma With MYC, BCL2, and BCL6 Rearrangements|Recurrent B Acute Lymphoblastic Leukemia|Recurrent Diffuse Large B-Cell Lymphoma, Not Otherwise Specified|Recurrent High Grade B-Cell Lymphoma With MYC and BCL2 or BCL6 Rearrangements|Refractory B Acute Lymphoblastic Leukemia|Refractory Diffuse Large B-Cell Lymphoma, Not Otherwise Specified|Refractory High Grade B-Cell Lymphoma With MYC and BCL2 or BCL6 Rearrangements	Biological: Autologous Human Anti-CD19CAR-4-1BB-CD3zeta-EGFRt-expressing CD4+/CD8+ T-lymphocytes|Drug: Cyclophosphamide|Drug: Fludarabine|Other: Laboratory Biomarker Analysis|Procedure: Leukapheresis|Other: Pharmacological Study	Fred Hutch/University of Washington Cancer Consortium, Seattle, Washington, United States	https://ClinicalTrials.gov/show/NCT03103971
